fiscal_year_label,fiscal_year,fiscal_year_is_partial,month_abbr,month_num,calendar_year,calendar_month_label,calendar_month_start,component,region,land_filter,branch,branch_type,drug_type,count_of_event,sum_qty_lbs,source_file
2020,2020,false,MAY,5,2020,2020-05,2020-05-01,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Air Branch,Fentanyl,1,0.09,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,MAY,5,2020,2020-05,2020-05-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,1,0.03,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,MAY,5,2020,2020-05,2020-05-01,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Other,Fentanyl,1,0.49,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,MAY,5,2020,2020-05,2020-05-01,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Air Branch,Fentanyl,4,2.55,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,MAY,5,2020,2020-05,2020-05-01,Air and Marine Operations,Coastal/Interior,Other,Mexico City IAC,Other,Fentanyl,2,44.1,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,MAY,5,2020,2020-05,2020-05-01,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Marine Branch,Fentanyl,1,0.01,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,MAY,5,2020,2020-05,2020-05-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,2,1.25,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,JUN,6,2020,2020-06,2020-06-01,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Air Branch,Fentanyl,2,0.02,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,JUN,6,2020,2020-06,2020-06-01,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,2,28.23,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,JUN,6,2020,2020-06,2020-06-01,Air and Marine Operations,Coastal/Interior,Other,NASOC - Albuquerque,NASOC,Fentanyl,5,8.200000000000001,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,JUN,6,2020,2020-06,2020-06-01,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Marine Branch,Fentanyl,1,0.0,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,JUN,6,2020,2020-06,2020-06-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,4,2.6100000000000003,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,JUN,6,2020,2020-06,2020-06-01,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Air Branch,Fentanyl,1,0.39,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,JUL,7,2020,2020-07,2020-07-01,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Center,Fentanyl,1,0.06,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,JUL,7,2020,2020-07,2020-07-01,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Air Branch,Fentanyl,1,6.57,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,JUL,7,2020,2020-07,2020-07-01,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Other,Fentanyl,1,0.09,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,JUL,7,2020,2020-07,2020-07-01,Air and Marine Operations,Southwest Border,Land,San Diego Air And Marine Branch,Marine Branch,Fentanyl,1,12.59,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,JUL,7,2020,2020-07,2020-07-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,1,5.18,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,JUL,7,2020,2020-07,2020-07-01,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Air Branch,Fentanyl,1,1.21,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,AUG,8,2020,2020-08,2020-08-01,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Air Branch,Fentanyl,1,9.87,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,AUG,8,2020,2020-08,2020-08-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,2,0.25,amo-drug-seizures-fy19-fy22.csv
