state_abbr,state_name,year,hs6,shipment_records,total_quantity_kg,total_value_usd
OH,Ohio,2016,293369,1,20.0,623.629
OH,Ohio,2016,320190,2,47.0,3158.2709999999997
OH,Ohio,2016,382200,2,638.0,13903.052
OH,Ohio,2016,382490,2,2880.0,11001.616
PA,Pennsylvania,2016,280800,1,17328.0,18901.867
PA,Pennsylvania,2016,281119,1,334.0,3104.309
PA,Pennsylvania,2016,283230,1,30.0,388.046
PA,Pennsylvania,2016,283429,1,200.0,2260.181
PA,Pennsylvania,2016,283529,1,68.0,877.482
PA,Pennsylvania,2016,283699,1,0.0,577.011
PA,Pennsylvania,2016,285000,3,500.0,24549.674
PA,Pennsylvania,2016,293090,1,26.0,813.55
PA,Pennsylvania,2016,350510,1,10.0,950.432
PA,Pennsylvania,2016,382200,1,2.0,754.1259999999999
PA,Pennsylvania,2016,392350,3,875.0,35555.774
PA,Pennsylvania,2016,392390,1,36.0,4.312
PA,Pennsylvania,2016,482370,1,998.0,3118.762
PA,Pennsylvania,2016,701090,2,1499.0,5255.459
PA,Pennsylvania,2016,741999,1,0.0,40.63700000000001
PA,Pennsylvania,2016,842129,1,0.0,213.648
PA,Pennsylvania,2016,902580,1,53.0,976.965
PA,Pennsylvania,2016,902780,1,53.0,329.085
PA,Pennsylvania,2016,902790,1,0.0,821.584
SC,South Carolina,2016,282739,2,268.0,2407.797
TN,Tennessee,2016,291539,1,65771.0,21155.014
TN,Tennessee,2016,291550,2,162909.0,190806.587
TN,Tennessee,2016,291560,1,6922.0,18580.472
TN,Tennessee,2016,291712,1,12673.0,18533.063
TN,Tennessee,2016,381220,1,14606.0,33653.026
TX,Texas,2016,220710,7,594747.0,537965.537
TX,Texas,2016,271012,19,1225483.0,937962.856
TX,Texas,2016,280610,12,183302.0,136616.086
TX,Texas,2016,280800,4,94924.0,64822.39
TX,Texas,2016,281119,1,334.0,3009.813
TX,Texas,2016,282619,1,50.0,2308.187
TX,Texas,2016,282731,1,100.0,1244.149
TX,Texas,2016,282739,1,0.0,925.059
TX,Texas,2016,282759,1,0.0,674.27
TX,Texas,2016,282760,1,100.0,4393.861
TX,Texas,2016,283429,4,414.0,3947.026
TX,Texas,2016,283529,1,68.0,979.691
TX,Texas,2016,283699,1,1.0,72.398
TX,Texas,2016,290110,1,764.0,4890.674
TX,Texas,2016,290250,2,40896.0,51748.937999999995
TX,Texas,2016,290323,3,59400.0,46353.104999999996
TX,Texas,2016,290513,1,7185.0,7285.567
TX,Texas,2016,290519,1,21580.0,43160.019
TX,Texas,2016,290531,1,83529.0,70214.376
TX,Texas,2016,290943,4,80030.0,100488.097
TX,Texas,2016,290944,1,20167.0,37570.594
TX,Texas,2016,290949,3,59380.0,109853.003
TX,Texas,2016,291300,1,2.0,649.363
TX,Texas,2016,291539,2,163316.0,64881.568999999996
TX,Texas,2016,291711,1,10.0,455.011
TX,Texas,2016,291735,3,54000.0,42055.565
TX,Texas,2016,292211,1,0.0,486.347
TX,Texas,2016,292249,1,0.0,132.153
TX,Texas,2016,292800,2,15241.0,31492.865
TX,Texas,2016,292910,14,300000.0,608568.6529999999
TX,Texas,2016,293090,1,10.0,462.966
TX,Texas,2016,293499,1,0.0,254.234
TX,Texas,2016,320412,1,1.0,205.25299999999996
TX,Texas,2016,381400,15,299777.0,100281.343
TX,Texas,2016,382370,1,63096.0,22515.405999999995
TX,Texas,2016,390720,2,57270.0,89322.94
TX,Texas,2016,392330,1,1272.0,7055.699
TX,Texas,2016,392350,2,68.0,1349.837
TX,Texas,2016,392690,1,218.0,1279.9789999999998
TX,Texas,2016,481910,1,261.0,1302.819
TX,Texas,2016,690919,1,4.0,118.375
TX,Texas,2016,701090,1,155.0,595.984
TX,Texas,2016,711719,1,0.0,2366.832
TX,Texas,2016,731100,6,11500.0,95446.032
TX,Texas,2016,732690,5,816.0,5487.596
TX,Texas,2016,842381,1,127.0,469.757
TX,Texas,2016,902780,1,0.0,7.348000000000001
WA,Washington,2016,392330,1,608.0,4235.154
WA,Washington,2016,392350,2,1179.0,21584.595
WA,Washington,2016,482370,1,921.0,4081.351
WA,Washington,2016,701090,3,1715.0,7974.105
WI,Wisconsin,2016,110813,1,50.0,2177.377
WI,Wisconsin,2016,251200,1,45.0,409.362
WI,Wisconsin,2016,281111,1,2640.0,12281.356
WI,Wisconsin,2016,282510,1,68.0,1538.977
WI,Wisconsin,2016,283720,1,22.0,2290.56
WI,Wisconsin,2016,291811,1,15.0,394.158
CA,California,2017,280038,15,1696700.0,345422.68994140625
CA,California,2017,392330,2,6.0,51.991
CA,California,2017,392690,1,2.0,775.393
CA,California,2017,690911,1,4.0,81.981
CA,California,2017,701710,2,2.0,129.453
CA,California,2017,841480,1,19.0,332.989
CA,California,2017,841989,1,19.0,4328.954
CA,California,2017,842121,1,19.0,71.299
CA,California,2017,842381,1,19.0,46.331
CA,California,2017,842382,1,19.0,1527.781
CA,California,2017,847989,5,95.0,2238.127
CA,California,2017,848140,1,3.0,123.701
CA,California,2017,902519,1,19.0,206.778
CA,California,2017,902720,1,10.0,563.939
CA,California,2017,902780,3,57.0,7542.132
CT,Connecticut,2017,271012,1,1551.0,5483.487
CT,Connecticut,2017,280800,1,15.0,1062.973
CT,Connecticut,2017,281700,1,3.0,98.81
CT,Connecticut,2017,281910,1,3.0,392.056
CT,Connecticut,2017,282739,1,10.0,1000.286
CT,Connecticut,2017,282751,1,10.0,327.541
CT,Connecticut,2017,283429,1,408.0,3557.5040000000004
CT,Connecticut,2017,283699,1,1.0,135.261
CT,Connecticut,2017,290313,1,1217.0,4112.604
CT,Connecticut,2017,382200,2,1.0,898.242
FL,Florida,2017,291735,3,54000.0,65664.066
FL,Florida,2017,292910,8,160000.0,684999.8840000001
FL,Florida,2017,390720,5,99320.0,172314.385
GA,Georgia,2017,382313,2,141976.0,134313.986
NC,North Carolina,2017,442190,1,73.0,558.422
NC,North Carolina,2017,700992,2,78.0,1427.315
NC,North Carolina,2017,732393,1,4.0,668.2659999999998
NC,North Carolina,2017,830629,5,805.0,6369.286000000001
NC,North Carolina,2017,940130,1,179.0,811.71
