state_abbr,state_name,year,hs6,goods_description,shipment_records,total_quantity_kg,total_value_usd
MD,Maryland,2016,293359,"4-(HIDROXIETEL)-1 DEL ACIDO ETANSULFONICO DE PIPERAZINA , (4-(2-HIDROXIETEL)-1 DEL ACIDO ETANSULFONICO DE PIPERAZINA .250GRS",1,0.0,93.542
MD,Maryland,2016,293359,CLORHIDRATO DE CIPROFLOXACINA,1,0.0,193.903
MD,Maryland,2016,293623,RIBOFLAVINA,1,0.0,195.503
MD,Maryland,2016,293628,ACETATO DE ALFA TOCOFERILO .250 MGRS,1,0.0,598.2270000000001
MD,Maryland,2016,293721,PREDNISONA,1,0.0,398.838
MD,Maryland,2016,293721,TABLETAS DE PREDNISONA,1,0.0,224.448
MD,Maryland,2016,293722,ACETONIDO DE TRIAMCINOLONA,1,0.0,193.903
MD,Maryland,2016,293790,LIOTIRONINA,2,0.0,792.73
MD,Maryland,2016,294190,MONOHIDRATO DE CEFALEXINA.,1,0.0,581.655
MD,Maryland,2016,294190,SULFATO DE NEOMICINA.,1,0.0,193.903
MD,Maryland,2016,310420,CLORURO DE POTASIO,1,1.0,889.391
MD,Maryland,2016,320416,COLORANTE REACTIVO,1,0.0,61.257
MD,Maryland,2016,320416,COLORANTE REACTIVO .5 GRS,1,0.0,62.977
MD,Maryland,2016,340213,DODECIL ETER(BRIJ L23),1,0.0,33.621
MD,Maryland,2016,382100,MEDIO DE CULTIVO,1,1.0,282.594
MD,Maryland,2016,382100,MEDIO DE TRANSPORTE PARA MICROORGANISMOS,1,52.0,5649.967
MD,Maryland,2016,382100,TUBO PARA MEDIO DE TRANSPORTE DE MUESTRAS DE CULTIVO,1,86.0,6554.155
MD,Maryland,2016,382200,"ACIDO 2,4-DICLOROFENOXIACETICO EN ACETONITRILO",1,0.0,381.042
MD,Maryland,2016,382200,ESTANDAR DE CONDUCTIVIDAD,1,1.0,193.64199999999997
MD,Maryland,2016,382200,ESTANDAR DE REFERENCIA,26,0.0,21545.534
MD,Maryland,2016,382200,ESTANDARES DE CALIBRACION,2,0.0,1600.063
MD,Maryland,2016,382200,ESTANDARES DE CALIBRACION ESTANDARES DE REFERENCIA,1,0.0,3154.649
MD,Maryland,2016,382200,ESTANDARES DE REFERENCIA,62,1.0,55614.023
MD,Maryland,2016,382200,ESTANDARES DE REFERENCIA ESTANDARES DE CALIBRACION,1,0.0,2205.779
MD,Maryland,2016,382200,MATERIALES DE REFERENCIA CERTIFICADA,1,1.0,1300.996
MD,Maryland,2016,382200,MEZCLA DE SOLVENTES,1,0.0,263.869
MD,Maryland,2016,382200,PLACAS PARA USO DE CROMATOGRAFIA,1,15.0,1127.557
MD,Maryland,2016,382200,PLACAS PARA USO EN CROMATOGRAFIA,2,17.0,1443.093
MD,Maryland,2016,382200,REACTIVO DE DIAGNOSTICO,3,2.0,387.748
MD,Maryland,2016,382200,REACTIVO DE DIAGNOSTICO EN ACETRONITRILO,1,0.0,75.415
MD,Maryland,2016,382200,"REACTIVO DE DIAGNOSTICO, ESTANDAR DE CONDUCTIVIDAD Y CALIBRACION, ESTANDAR DE CALIBRACION",1,3.0,362.706
MD,Maryland,2016,382200,"REACTIVO DE DIAGNOSTICO, SOLUCION PARA USO EN CROMATOGRAFIA",1,0.0,2921.4
MD,Maryland,2016,382200,REACTIVO DE LABORATORIO,1,0.0,182.02199999999996
MD,Maryland,2016,382200,TIRAS DE PLASTICO IMPREGNADAS DE REACTIVO,2,0.0,376.774
MD,Maryland,2016,390599,POLIVINILPIRROLIDONA,1,0.0,196.97499999999997
MD,Maryland,2016,392329,BOLSAS DE PLASTICO CON SU VALVULA,1,1.0,148.879
MD,Maryland,2016,392350,TAPAS DE PLASTICO,2,0.0,63.182
MD,Maryland,2016,392690,GABINETE DE PLASTICO,1,5.0,519.986
MD,Maryland,2016,392690,MEMBRANA FILTRANTE,2,2.0,1527.34
